x,x,da4m,dl5,vm3,dl1,dc1,dm2,da3,dm3,vc3,da4l,vm2,dm3,va1v,va5,dm4,dl3,dm6,vc4,va6,dm5,vm5d,dl4,va1d,vm5v
class,odorant,2a,7a,9a,10a,19a,22a,23a,33b,35a,43a,43b,47a,47b,49b,59b,65a,67a,67c,82a,85a,85b,85f,88a,98a
1,ammoniumhydroxide,3,-21,32,10,1,13,-2,-9,4,-1,3,16,-8,4,5,3,16,10,2,-6,15,17,0,24
1,putrescine,6,-36,26,-26,-9,12,-2,-4,0,-17,1,-9,-25,-7,2,-2,-4,6,-4,-13,24,8,-6,17
1,cadaverine,1,-41,21,-17,-5,13,-7,-7,12,-10,12,-8,-16,-2,7,-1,-8,14,-2,-11,29,16,0,21
2,g-butyrolactone,9,34,53,-6,-7,43,4,7,81,-12,19,6,9,-1,16,6,125,20,-7,-8,47,23,2,29
2,g-hexalactone,15,-39,118,18,-2,140,12,25,171,8,30,24,-36,-1,18,18,47,40,5,-3,53,54,3,24,
2,g-octalactone,7,-22,26,18,2,41,3,10,36,-5,27,17,-19,-3,0,20,25,16,20,-13,174,31,-16,101
2,g-decalactone,-1,-12,-1,-2,-22,16,-3,17,-3,-18,2,-3,-3,0,-4,-2,7,1,-8,-11,13,-5,7,9
2,d-decalactone,0,-15,-2,-11,-23,11,-2,15,-10,-16,2,0,-4,-4,2,-5,2,0,-5,1,24,-1,-1,8,
3,methanoicacid,-2,-14,31,0,33,-8,-6,5,-9,8,-1,-20,3,25,2,5,12,-8,-9,14,7,0,4,14,
3,acetic acid,5,-11,9,18,3,32,-1,-2,-1,0,10,2,-21,5,24,4,-5,6,10,1,27,11,-5,19
3,propionic acid,1,5,20,36,5,37,-3,-9,2,-5,7,7,-22,9,24,8,49,18,7,-6,41,15,-7,11
3,butyric acid,11,42,138,33,10,117,-3,-11,12,-7,20,17,-27,8,34,9,132,16,7,-10,39,21,-2,11
3,pentanoic acid,7,22,19,22,30,45,2,-11,36,-5,7,14,-22,2,24,2,207,11,25,-3,30,11,-7,-9
3,hexanoic acid,8,3,22,19,30,117,3,22,7,5,7,9,-24,7,29,7,20,12,19,-11,40,21,-5,13
3,heptanoic acid,3,-6,3,-1,-19,12,-2,-4,11,-11,20,1,-7,-4,16,-1,1,-3,-5,1,37,5,-3,-2
3,octanoic acid,-2,-7,-2,-1,-26,0,2,-13,-4,-5,10,5,-11,-1,5,-1,-9,2,-7,-5,68,7,1,-5
